drug_a,drug_b,total_reports,serious_reports,serious_rate,lift,risk_score
NEXIUM,PRILOSEC,709,708,0.998589562764457,1.096673291771759,776.4446905744054
NEXIUM,PREVACID,636,636,1.0,1.0982222653477076,698.4693607611421
PREVACID,PRILOSEC,561,561,1.0,1.0982222653477076,616.102690860064
NEXIUM,NEXIUM 24HR,519,519,1.0,1.0982222653477076,569.9773557154602
NEXIUM,PROTONIX,493,493,1.0,1.0982222653477076,541.4235768164199
LISINOPRIL,NEXIUM,481,478,0.9937629937629938,1.091372646229115,521.676124897517
PRILOSEC,PRILOSEC OTC,465,464,0.9978494623655914,1.095860497035132,508.4792706243012
NEXIUM,PRILOSEC OTC,452,452,1.0,1.0982222653477076,496.39646393716384
NEXIUM 24HR,PRILOSEC,431,431,1.0,1.0982222653477076,473.333796364862
PRILOSEC,PROTONIX,423,423,1.0,1.0982222653477076,464.54801824208033
NEXIUM 24HR,PREVACID,401,401,1.0,1.0982222653477076,440.38712840443077
AZITHROMYCIN ANHYDROUS,NEXIUM,400,395,0.9875,1.0844944870308615,428.3753223771903
NEXIUM,PREVACID 24 HR,389,389,1.0,1.0982222653477076,427.20846122025824
FUROSEMIDE,NEXIUM,386,384,0.9948186528497409,1.0925319945427974,419.5322859044342
PREVACID,PROTONIX,378,378,1.0,1.0982222653477076,415.1280163014335
NEXIUM 24HR,PRILOSEC OTC,372,372,1.0,1.0982222653477076,408.53868270934726
PREVACID,PREVACID 24 HR,371,371,1.0,1.0982222653477076,407.44046044399954
CEPHALEXIN,NEXIUM,372,371,0.9973118279569892,1.095270054956988,406.34519038904256
PREVACID,PRILOSEC OTC,366,366,1.0,1.0982222653477076,401.94934911726097
NEXIUM 24HR,PREVACID 24 HR,365,365,1.0,1.0982222653477076,400.8511268519133
PREVACID 24 HR,PRILOSEC,364,364,1.0,1.0982222653477076,399.7529045865656
ASPIRIN,NEXIUM,369,363,0.983739837398374,1.080364992740428,392.17249236477534
NEXIUM,TRAMADOL,353,351,0.9943342776203966,1.0920000428811485,383.29201505128316
PREVACID 24 HR,PRILOSEC OTC,339,339,1.0,1.0982222653477076,372.2973479528729
METFORMIN,SITAGLIPTIN,345,340,0.9855072463768116,1.0823060006325236,367.98404021505803
EMPAGLIFLOZIN,METFORMIN,365,348,0.9534246575342465,1.0470721872356226,364.38112115799663
ATORVASTATIN,METFORMIN,433,376,0.8683602771362586,0.9536525906945452,358.573374101149
CIPROFLOXACIN,NEXIUM,327,326,0.9969418960244648,1.0948637874720266,356.92559471588066
GABAPENTIN,NEXIUM,330,327,0.990909090909091,1.0882384265718195,355.85396548898495
AMOXICILLIN,NEXIUM,313,311,0.9936102236421726,1.0912048706809492,339.3647147817752
LISINOPRIL,PRILOSEC,313,308,0.9840255591054313,1.0806787786808114,332.84906383368997
NEXIUM,PANTOPRAZOLE,285,285,1.0,1.0982222653477076,312.99334562409666
NEXIUM 24HR,PROTONIX,284,284,1.0,1.0982222653477076,311.89512335874895
NEXIUM,OMEPRAZOLE,287,283,0.9860627177700348,1.082916031684325,306.46523696666395
NAPROXEN,NEXIUM,277,276,0.9963898916967509,1.0942575640287628,302.01508767193855
LISINOPRIL,PREVACID,264,263,0.9962121212121212,1.094062332524421,287.7383934539227
