drug_a,drug_b,total_pair_reports,serious_pair_reports,non_serious_pair_reports,serious_rate,lift_vs_report_baseline,a,b,c,d,odds_ratio,risk_score
ESOMEPRAZOLE,OMEPRAZOLE,926,926,0,1.0,1.2891613924050633,926,0,9186,2924,589.8980569313667,704198.7392173315
ESOMEPRAZOLE,LANSOPRAZOLE,706,706,0,1.0,1.2891613924050633,706,0,9406,2924,439.3045766225482,399832.15678018064
LANSOPRAZOLE,OMEPRAZOLE,694,694,0,1.0,1.2891613924050633,694,0,9418,2924,431.29272177098267,385868.11245832
ESOMEPRAZOLE,PANTOPRAZOLE,675,675,0,1.0,1.2891613924050633,675,0,9437,2924,418.64895364238413,364301.59590441367
OMEPRAZOLE,PANTOPRAZOLE,632,632,0,1.0,1.2891613924050633,632,0,9480,2924,390.22124360529506,317932.75822741416
LANSOPRAZOLE,PANTOPRAZOLE,490,490,0,1.0,1.2891613924050633,490,0,9622,2924,298.1485580670304,188337.18902801487
DEXILANT,ESOMEPRAZOLE,252,252,0,1.0,1.2891613924050633,252,0,9860,2924,149.77663404492674,48657.73603196554
DEXILANT,OMEPRAZOLE,229,229,0,1.0,1.2891613924050633,229,0,9883,2924,135.8168159052967,40095.563170529225
DEXILANT,PANTOPRAZOLE,202,202,0,1.0,1.2891613924050633,202,0,9910,2924,119.51188133797487,31122.160877631704
DEXILANT,LANSOPRAZOLE,195,195,0,1.0,1.2891613924050633,195,0,9917,2924,115.29916813713133,28984.6510470679
METHOTREXATE,ORENCIA,77,77,0,1.0,1.2891613924050633,77,0,10035,2924,45.169398634846296,4483.759652541232
ACTEMRA,ENBREL,75,75,0,1.0,1.2891613924050633,75,0,10037,2924,43.99496886674969,4253.746149230733
ACTEMRA,ORENCIA,69,69,0,1.0,1.2891613924050633,69,0,10043,2924,40.47448598596107,3600.2919850273147
ACIPHEX,OMEPRAZOLE,68,68,0,1.0,1.2891613924050633,68,0,10044,2924,39.88814774254567,3496.7136857282558
ACIPHEX,PANTOPRAZOLE,65,65,0,1.0,1.2891613924050633,65,0,10047,2924,38.12983329186365,3195.1080836162723
ACTEMRA,METHOTREXATE,65,65,0,1.0,1.2891613924050633,65,0,10047,2924,38.12983329186365,3195.1080836162723
ACIPHEX,ESOMEPRAZOLE,64,64,0,1.0,1.2891613924050633,64,0,10048,2924,37.5439617853411,3097.6144673019403
METHOTREXATE,REMICADE,62,62,0,1.0,1.2891613924050633,62,0,10050,2924,36.37256852892891,2907.1868875863597
ENBREL,HYDROXYCHLOROQUINE SULFATE,61,61,0,1.0,1.2891613924050633,61,0,10051,2924,35.78704670944635,2814.2520169269087
METFORMIN,SITAGLIPTIN,59,59,0,1.0,1.2891613924050633,59,0,10053,2924,34.61635251404984,2632.9378472128233
ENBREL,HYDROXYCHLOROQUINE,57,57,0,1.0,1.2891613924050633,57,0,10055,2924,33.446124011734874,2457.6947526866716
ENBREL,RITUXAN,57,57,0,1.0,1.2891613924050633,57,0,10055,2924,33.446124011734874,2457.6947526866716
HUMIRA,HYDROXYCHLOROQUINE SULFATE,57,57,0,1.0,1.2891613924050633,57,0,10055,2924,33.446124011734874,2457.6947526866716
HUMIRA,PLAQUENIL,57,57,0,1.0,1.2891613924050633,57,0,10055,2924,33.446124011734874,2457.6947526866716
ORENCIA,SULFASALAZINE,57,57,0,1.0,1.2891613924050633,57,0,10055,2924,33.446124011734874,2457.6947526866716
METHOTREXATE,RITUXAN,56,56,0,1.0,1.2891613924050633,56,0,10056,2924,32.86118430865609,2372.348726687884
ORENCIA,REMICADE,56,56,0,1.0,1.2891613924050633,56,0,10056,2924,32.86118430865609,2372.348726687884
REMICADE,SULFASALAZINE,55,55,0,1.0,1.2891613924050633,55,0,10057,2924,32.276360924683075,2288.5191115288044
ACIPHEX,LANSOPRAZOLE,54,54,0,1.0,1.2891613924050633,54,0,10058,2924,31.69165382512303,2206.2054549320023
HYDROXYCHLOROQUINE SULFATE,ORENCIA,54,54,0,1.0,1.2891613924050633,54,0,10058,2924,31.69165382512303,2206.2054549320023
EMPAGLIFLOZIN,METFORMIN,94,93,1,0.9893617021276596,1.2754469095071372,93,1,10019,2923,18.187684016168472,2180.557984734357
ARAVA,ORENCIA,53,53,0,1.0,1.2891613924050633,53,0,10059,2924,31.107062975296984,2125.4073047998904
ENBREL,ORENCIA,92,91,1,0.9891304347826086,1.2751487685745735,91,1,10021,2923,17.795090555306093,2087.607678360986
HYDROXYCHLOROQUINE,ORENCIA,48,48,0,1.0,1.2891613924050633,48,0,10064,2924,28.185851259377017,1744.1333402717032
ENBREL,SULFASALAZINE,83,82,1,0.9879518072289156,1.2736293274363275,82,1,10030,2923,16.030357409899807,1694.588866102375
LEFLUNOMIDE,ORENCIA,47,47,0,1.0,1.2891613924050633,47,0,10065,2924,27.601957180467934,1672.418744938218
HYDROXYCHLOROQUINE SULFATE,METHOTREXATE,45,45,0,1.0,1.2891613924050633,45,0,10067,2924,26.434517010181278,1533.5261440380282
ACTEMRA,REMICADE,44,44,0,1.0,1.2891613924050633,44,0,10068,2924,25.850970849679694,1466.3472373262143
ACTEMRA,SULFASALAZINE,44,44,0,1.0,1.2891613924050633,44,0,10068,2924,25.850970849679694,1466.3472373262143
ARAVA,REMICADE,44,44,0,1.0,1.2891613924050633,44,0,10068,2924,25.850970849679694,1466.3472373262143
METFORMIN,RAMIPRIL,44,44,0,1.0,1.2891613924050633,44,0,10068,2924,25.850970849679694,1466.3472373262143
REMICADE,RITUXAN,44,44,0,1.0,1.2891613924050633,44,0,10068,2924,25.850970849679694,1466.3472373262143
ENBREL,SIMPONI,42,42,0,1.0,1.2891613924050633,42,0,10070,2924,24.684226205252966,1336.5219598586295
ORENCIA,PLAQUENIL,42,42,0,1.0,1.2891613924050633,42,0,10070,2924,24.684226205252966,1336.5219598586295
ACTEMRA,HYDROXYCHLOROQUINE SULFATE,41,41,0,1.0,1.2891613924050633,41,0,10071,2924,24.101027652286152,1273.8746890311802
ARAVA,CIMZIA,41,41,0,1.0,1.2891613924050633,41,0,10071,2924,24.101027652286152,1273.8746890311802
ARAVA,SULFASALAZINE,41,41,0,1.0,1.2891613924050633,41,0,10071,2924,24.101027652286152,1273.8746890311802
GLICLAZIDE,METFORMIN,41,41,0,1.0,1.2891613924050633,41,0,10071,2924,24.101027652286152,1273.8746890311802
GLIMEPIRIDE,METFORMIN,41,41,0,1.0,1.2891613924050633,41,0,10071,2924,24.101027652286152,1273.8746890311802
ACTEMRA,HUMIRA,72,71,1,0.9861111111111112,1.2712563730661042,71,1,10041,2923,13.877757307175223,1270.2374942840063
